STATION,NAME,DATE,TMAX,TMIN,WDFG,WSFG
SPW00013025,"ROTA NAS, SP",1/1/1970,56,43,270,11.4
SPW00013025,"ROTA NAS, SP",1/2/1970,62,48,135,34.4
SPW00013025,"ROTA NAS, SP",1/3/1970,63,58,248,21.9
SPW00013025,"ROTA NAS, SP",1/4/1970,64,58,180,34.4
SPW00013025,"ROTA NAS, SP",1/5/1970,60,53,225,48.3
SPW00013025,"ROTA NAS, SP",1/6/1970,61,52,270,48.3
SPW00013025,"ROTA NAS, SP",1/7/1970,60,55,180,28.9
SPW00013025,"ROTA NAS, SP",1/8/1970,63,58,180,33.3
SPW00013025,"ROTA NAS, SP",1/9/1970,61,56,180,35.6
SPW00013025,"ROTA NAS, SP",1/10/1970,62,51,248,47.2
SPW00013025,"ROTA NAS, SP",1/11/1970,60,50,270,46.1
SPW00013025,"ROTA NAS, SP",1/12/1970,60,54,270,46.1
SPW00013025,"ROTA NAS, SP",1/13/1970,60,55,203,32.2
SPW00013025,"ROTA NAS, SP",1/14/1970,64,52,248,34.4
SPW00013025,"ROTA NAS, SP",1/15/1970,56,46,248,31.1
SPW00013025,"ROTA NAS, SP",1/16/1970,65,42,180,19.5
SPW00013025,"ROTA NAS, SP",1/17/1970,59,44,203,16.1
SPW00013025,"ROTA NAS, SP",1/18/1970,65,48,158,12.8
SPW00013025,"ROTA NAS, SP",1/19/1970,69,44,135,16.1
SPW00013025,"ROTA NAS, SP",1/20/1970,63,44,315,10.3
SPW00013025,"ROTA NAS, SP",1/21/1970,59,43,360,15
SPW00013025,"ROTA NAS, SP",1/22/1970,62,42,360,13.9
SPW00013025,"ROTA NAS, SP",1/23/1970,56,51,180,28.9
SPW00013025,"ROTA NAS, SP",1/24/1970,62,53,180,19.5
SPW00013025,"ROTA NAS, SP",1/25/1970,59,52,180,25.3
SPW00013025,"ROTA NAS, SP",1/26/1970,55,48,293,24.2
SPW00013025,"ROTA NAS, SP",1/27/1970,56,38,315,10.3
SPW00013025,"ROTA NAS, SP",1/28/1970,58,43,248,13.9
SPW00013025,"ROTA NAS, SP",1/29/1970,59,51,293,16.1
SPW00013025,"ROTA NAS, SP",1/30/1970,60,53,270,21.9
SPW00013025,"ROTA NAS, SP",1/31/1970,60,48,293,11.4
SPW00013025,"ROTA NAS, SP",2/1/1970,62,50,270,28.9
SPW00013025,"ROTA NAS, SP",2/2/1970,62,48,45,18.3
SPW00013025,"ROTA NAS, SP",2/3/1970,64,46,23,17.2
SPW00013025,"ROTA NAS, SP",2/4/1970,58,49,293,15
SPW00013025,"ROTA NAS, SP",2/5/1970,59,51,270,21.9
SPW00013025,"ROTA NAS, SP",2/6/1970,59,52,180,28.9
SPW00013025,"ROTA NAS, SP",2/7/1970,65,48,23,18.3
SPW00013025,"ROTA NAS, SP",2/8/1970,59,48,68,20.8
SPW00013025,"ROTA NAS, SP",2/9/1970,63,49,90,21.9
SPW00013025,"ROTA NAS, SP",2/10/1970,62,44,293,12.8
SPW00013025,"ROTA NAS, SP",2/11/1970,61,42,293,18.3
SPW00013025,"ROTA NAS, SP",2/12/1970,60,51,293,15
SPW00013025,"ROTA NAS, SP",2/13/1970,60,51,315,24.2
SPW00013025,"ROTA NAS, SP",2/14/1970,57,43,315,26.4
SPW00013025,"ROTA NAS, SP",2/15/1970,54,32,23,19.5
SPW00013025,"ROTA NAS, SP",2/16/1970,60,38,23,23
SPW00013025,"ROTA NAS, SP",2/17/1970,62,35,23,18.3
SPW00013025,"ROTA NAS, SP",2/18/1970,65,38,23,17.2
SPW00013025,"ROTA NAS, SP",2/19/1970,68,40,45,16.1
SPW00013025,"ROTA NAS, SP",2/20/1970,70,40,23,15
SPW00013025,"ROTA NAS, SP",2/21/1970,74,38,45,10.3
SPW00013025,"ROTA NAS, SP",2/22/1970,74,45,23,17.2
SPW00013025,"ROTA NAS, SP",2/23/1970,71,44,360,16.1
SPW00013025,"ROTA NAS, SP",2/24/1970,68,39,360,16.1
SPW00013025,"ROTA NAS, SP",2/25/1970,65,44,180,10.3
SPW00013025,"ROTA NAS, SP",2/26/1970,64,40,360,26.4
SPW00013025,"ROTA NAS, SP",2/27/1970,62,38,270,16.1
SPW00013025,"ROTA NAS, SP",2/28/1970,66,38,113,30
SPW00013025,"ROTA NAS, SP",3/1/1970,60,51,113,26.4
SPW00013025,"ROTA NAS, SP",3/2/1970,63,50,113,23
SPW00013025,"ROTA NAS, SP",3/3/1970,61,51,293,26.4
